employer_name,employer_phone,employer_email,employer_hq_address,employer_hq_in_dc,employer_home_url,employer_employment_url,employer_notes,employer_box_present,employer_crime_type_asked,employer_years_specified,Accounting,Administrative,Banking,Construction,Business,Creative,Customer Support,Editorial,Education,Engineering,Hospitality,Human Resources,Software,Maintenance,Legal,Logistics,Manufacturing,Marketing,Medical,Other,Project,Government,Non-profit,Sales,Security,position_title,position_phone,position_location,job_posted,collateral_sanction_applies,which_collateral_sanction
Deputy Assistant Secretary for Information and Technology,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,Deputy Assistant Secretary for Information and Technology,,"Washington DC, District Of Columbia",http://my.jobs/E58A069D31B74E398BA70DC1872F923B,,
Library of Congress,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,,,,y,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/FC0BA4C0200743C3A65D0FFA1E4F6B7F,,
"Veterans Affairs, Veterans Health Administration",,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,y,,,,,,y,"Veterans Affairs, Veterans Health Administration",,"Washington DC, District Of Columbia",http://my.jobs/C5AA7D27B6C34C36922070CF2B0B3206,,
Federal Reserve System--Board Of Governors,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,Federal Reserve System--Board Of Governors,,"Washington DC, District Of Columbia",http://my.jobs/3E72887CE8A0481199FF61DC0272BECE,,
Panduit N.A. Sales,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,y,y,Panduit N.A. Sales,,"Washington, District Of Columbia",http://my.jobs/E5934827A1274E9EBD184BC9D46EC75F,,
Millennium Challenge Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Millennium Challenge Corporation,,"Washington DC, District Of Columbia",http://my.jobs/C95130353950458DB399ABCA65DCF252,,
"Offices, Boards and Divisions",,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,"Offices, Boards and Divisions",,"Washington DC, District Of Columbia",http://my.jobs/3CB8B82BCC0647698FAD793A6DA4959E,,
Library of Congress,,,,,,,background check,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/6F140B2CC56E4584ADE17DE2E41B3C69,,
Employment and Training Administration,,,,,,,,,,,y,,,,,,,,y,,,,,,,,y,,,,,,,,y,Employment and Training Administration,,"Washington DC, District Of Columbia",http://my.jobs/42C662ACFFDF4B318E745353B19793A3,,
"Offices, Boards and Divisions",,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,y,"Offices, Boards and Divisions",,"Washington DC, District Of Columbia",http://my.jobs/F28E7B5B935947EAA2F515DFCF549188,,
"Offices, Boards and Divisions",,,,,,,background check,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,y,"Offices, Boards and Divisions",,"District of Columbia, District Of Columbia",http://my.jobs/25C02C1E9D37460CABC2996BA428ED09,,
Office of Innovation and Improvement,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,Office of Innovation and Improvement,,"Washington DC, District Of Columbia",http://my.jobs/C713A07AE3BF4CA994AA53C18FB63FA6,,
The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,y,y,y,,,The Pew Charitable Trusts,,"Washington, District Of Columbia",http://my.jobs/AC258A16DF8648F5A35A2C49E9DE9FE1,,
KaBOOM!,,,,,,,,,,,,,,y,,,,,y,,,,,,,,,,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/8289FEDAF9B44D5F996049D4C78502BC,,
Small Business Administration,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,y,Small Business Administration,,"Washington DC, District Of Columbia",http://my.jobs/BB3F4FB705604DF4B2AD6A8B39543B05,,
"Offices, Boards and Divisions - Criminal Division",,,,,,,background check,,,,,,,,,,,,,,,,y,,y,,,,,,,,,,y,"Offices, Boards and Divisions - Criminal Division",,"Washington DC, District Of Columbia",http://my.jobs/D186650369EB4F899A97BE993813F3B0,,
KaBOOM!,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,y,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/F666004809D24C2FA77607C84E234FA2,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/5EA6E21022584B1C85BB80CC12970582,,
KaBOOM!,,,,,,,,,,,,,,y,,,,,y,,,,,,,,,,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/0B2B52B809C84DAF884535D8769229C7,,
KaBOOM!,,,,,,,,,,,,,,y,y,,,,,,,,,,,,y,y,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/702642963621458A86E6276C917091C8,,
KaBOOM!,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,y,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/7458407C149140E192271107EFBC9C9E,,
"Offices, Boards and Divisions",,,,,,,background check,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,y,"Offices, Boards and Divisions",,"Washington DC, District Of Columbia",http://my.jobs/7F794874A4864CE1A94D4B723DEB3CAF,,
National Telecommunications and Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,National Telecommunications and Information Administration,,"Washington DC, District Of Columbia",http://my.jobs/F061640BA1AC43FA9F19481C0B3F887A,,
KaBOOM!,,,,,,,,,,,,,,y,y,,,,,,,,,,,,y,y,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/52BDC959A018403581262D14E5D553D8,,
KaBOOM!,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,y,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/7F77BCEBB1AD478E93AC78A11986AFCC,,
KaBOOM!,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,y,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/ECFC64894C1E4E2BA21775CB80A98FC0,,
KaBOOM!,,,,,,,,,,,,,,y,y,,,,,,,,,,,,y,y,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/E9DC88F48F2E48829B6D8CB0F53B03E8,,
Architect of the Capitol,,,,,,,,,,,,,,y,,,,,y,,,,,y,,,,,,,,,,,,Architect of the Capitol,,"Washington DC, District Of Columbia",http://my.jobs/42A851216BE44439985046E549C45544,,
Foreign Agricultural Service,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,y,Foreign Agricultural Service,,"Washington DC, District Of Columbia",http://my.jobs/82902118A2F2401A9D6085993F7FC09E,,
"Headquarters, NASA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,"Headquarters, NASA",,"Washington DC, District Of Columbia",http://my.jobs/3739C7FD73A548C586B5D54CAB50BD46,,
Federal Energy Regulatory Commission (FERC),,,,,,,,,,,y,y,,,,,,,,y,,,,,y,,,,,,,,,,y,Federal Energy Regulatory Commission (FERC),,"Washington DC, District Of Columbia",http://my.jobs/F7FB96768A9443ACADCE1946C0646E07,,
Occupational Safety and Health Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,Occupational Safety and Health Administration,,"Washington DC, District Of Columbia",http://my.jobs/14695985F934404083736BD8F314AB64,,
KaBOOM!,,,,,,,,,,,,,,y,,,,,y,,,,,,,,,,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/4507DCF2CCF640E6A0A0C70C82482D43,,
Architect of the Capitol,,,,,,,,,,,,,,y,,,,,y,,,,,y,,,,,,,,,,,,Architect of the Capitol,,"Washington DC, District Of Columbia",http://my.jobs/2C90CEF5498844D7BA12E69159D31CFD,,
Federal Energy Regulatory Commission (FERC),,,,,,,,,,,y,y,,,,,,,,y,,,,,y,,,,,,,,,,y,Federal Energy Regulatory Commission (FERC),,"Washington DC, District Of Columbia",http://my.jobs/BB9F2A46C38D4B45B631F59445304422,,
Air Force Personnel Center,,,,,,,,,,,,,,,,,,,y,y,,,y,y,,,,,,,,,,,y,Air Force Personnel Center,,"Washington DC, District Of Columbia",http://my.jobs/5A35CCB48AD34031A6C3581B936E6A47,,
Office of Innovation and Improvement,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,Office of Innovation and Improvement,,"District of Columbia, District Of Columbia",http://my.jobs/759BBCDD4DA841D7804B7ACCC4CB1F90,,
Pretrial Services Agency,,,,,,,background check,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,Pretrial Services Agency,,"Washington DC, District Of Columbia",http://my.jobs/0B68860AD8704349AC19350504337117,,
"Grain Inspection, Packers and Stockyards Administration",,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,y,"Grain Inspection, Packers and Stockyards Administration",,"Washington DC, District Of Columbia",http://my.jobs/71E3F18907814B2FBF3D99491271A670,,
KaBOOM!,,,,,,,,,,,,,,y,y,,,,,,,,,,,,y,y,y,,,,y,y,,KaBOOM!,,"Washington, District Of Columbia",http://my.jobs/08B778FE3CFA40A4B6B4CC354577081A,,
National Park Service,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,National Park Service,,"Washington DC, District Of Columbia",http://my.jobs/DF183DA781BD42F99BC1B082A2FD0F6F,,
U.S. Army Corps of Engineers - U.S. Army Corps of,,,,,,,,,,,,,,,,,,,,y,,,,,,,y,,,,,,,,y,U.S. Army Corps of Engineers - U.S. Army Corps of,,"Washington DC, District Of Columbia",http://my.jobs/CC9522D751894B71A866B0E18116EB5F,,
The Service Companies,,,,,,,,,,,y,,,,,,,,y,,y,,,y,,,,,y,,,,,,,The Service Companies,,"Washington, District Of Columbia",http://my.jobs/366EB1A765C34C469BDC520267F084D3,,
Georgetown University,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,Georgetown University,,"Washington, District Of Columbia",http://my.jobs/B7C723847CE6499899A384F4DDBE5FF6,,
Immigration and Customs Enforcement,,,,,,,background check,,,,,y,,y,,,,,,,,,,,,y,y,,y,,,y,,,y,Immigration and Customs Enforcement,,"Washington DC, District Of Columbia",http://my.jobs/335F29276DC04AB2A3B6C139DAC080FB,,
Federal Trade Commission,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,y,Federal Trade Commission,,"Washington DC, District Of Columbia",http://my.jobs/0566D58AE9EA4702AFE2696C1EAA9FB3,,
National Park Service,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,National Park Service,,"Washington DC, District Of Columbia",http://my.jobs/521AC3DD27D94293B3F5ED04D6218F62,,
Georgetown University,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,Georgetown University,,"Washington, District Of Columbia",http://my.jobs/81C1E9072AD54128A292642E922A53B0,,
Maxim Healthcare Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxim Healthcare Services,,"Washington, District Of Columbia",http://my.jobs/BCA0CA41CD7141989ACFCD3593B88507,,
"Commerce, International Trade Administration",,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,"Commerce, International Trade Administration",,"Washington DC, District Of Columbia",http://my.jobs/720BA03300C842708809C5E833DCC8BF,,
Office of the Secretary of Health and Human Servic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,y,Office of the Secretary of Health and Human Servic,,"Washington DC, District Of Columbia",http://my.jobs/1B872F7EA47E4CABA0725C5C691E304F,,
Architect of the Capitol,,,,,,,,,,,,,,y,,,,,y,y,,,,y,,,,,,,,,,,,Architect of the Capitol,,"Washington DC, District Of Columbia",http://my.jobs/2E3949B86691468F8B168F4490DDC18D,,
Navy Systems Management Activity,,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,y,Navy Systems Management Activity,,"Washington DC, District Of Columbia",http://my.jobs/516251382E34405DA2C3023B5B14EF53,,
Federal Deposit Insurance Corporation,,,,,,,,,,,y,y,,,y,,,,y,,,,y,,y,,y,,,,,,,,y,Federal Deposit Insurance Corporation,,"Washington DC, District Of Columbia",http://my.jobs/F4E48AC5BEC742709B65B972894B5F65,,
Federal Deposit Insurance Corporation,,,,,,,,,,,y,y,,,y,,,,y,,,,y,,y,,y,,,,,,,,y,Federal Deposit Insurance Corporation,,"Washington DC, District Of Columbia",http://my.jobs/8BB925A86DC44DC3AA87F029B92B2E3B,,
"Office of Surfacing Mining, Reclamation and Enforc",,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,y,,,,y,"Office of Surfacing Mining, Reclamation and Enforc",,"Washington DC, District Of Columbia",http://my.jobs/420D229888FE478F86A6785BF266E4BF,,
Office of Operations,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,y,Office of Operations,,"Washington DC, District Of Columbia",http://my.jobs/085938F9F1C9495E8FDE53EC3E5A4534,,
Office of the Chief Operating Officer,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,y,Office of the Chief Operating Officer,,"Washington DC, District Of Columbia",http://my.jobs/D51BF1B29D1E4C3A861CBF507A97AB0F,,
Office of Postsecondary Education,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,y,Office of Postsecondary Education,,"Washington DC, District Of Columbia",http://my.jobs/11E66907FABE4DD99817F0DCD4126AD7,,
Office of Administration,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,Office of Administration,,"Washington DC, District Of Columbia",http://my.jobs/AAAAE4452127495497F6429C07B41030,,
The Service Companies,,,,,,,,,,,y,,,,,,,,y,,y,,,,,,,,y,,,,,,,The Service Companies,,"Washington, District Of Columbia",http://my.jobs/A652E64B4B23433F91D3814E722D535E,,
Peace Corps,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,y,,,,Peace Corps,,"Washington DC, District Of Columbia",http://my.jobs/0E90CE87D1D04F8398983C20767D96BB,,
"M. C. Dean, Inc",,,,,,,,,,,y,,,y,,,,,y,y,,,y,y,,,,,y,,,y,,,y,"M. C. Dean, Inc",,"Washington, District Of Columbia",http://my.jobs/EE197DAE22B84DC882A8CA4573677C9D,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/B4B1D824CB454AABAE133DC02B051C4C,,
"M. C. Dean, Inc",,,,,,,background check,,,,y,,,y,,,,,,y,,,y,y,,,,,y,,,y,,,y,"M. C. Dean, Inc",,"Washington, District Of Columbia",http://my.jobs/5A4ED8ED82EC4A5997A17BE43EDFA641,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/855771E0D65A45A490CE5A12F675F508,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/5CBDA3B74E3D4AAF92FB7AA1D3D56D6E,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/D491AEA62ED44484A46E1EBD322A984B,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/BFACFF89224549D3AF675E11645E3A7A,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/EC5A8C9E7D5B4CEA87118D9129A59284,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/F49683F6E2914DFD853E53DBDB390771,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/B53A295BBAC14EA89FED0CC0331D3B6F,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/51BB59F4EE5246739A6D1BC8C3899D0F,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/DD0CB72B82BC427B8B149297401C58AE,,
"M. C. Dean, Inc",,,,,,,,,,,y,,,y,,,,,,y,,,y,y,,,,,y,,,y,,,y,"M. C. Dean, Inc",,"Washington, District Of Columbia",http://my.jobs/547626B0450345F9ABD9E271469EF059,,
The Service Companies,,,,,,,,,,,y,,,,,,,,y,,y,,,,,,,,y,,,,,,,The Service Companies,,"Washington, District Of Columbia",http://my.jobs/EDCAFA2604C0497D87B5CBFF801F59C9,,
BAE Systems,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/4141729B6E1E4CCEBECE627F15042CD4,,
"M. C. Dean, Inc",,,,,,,,,,,y,,,y,,,,,y,y,,,y,y,,,,,y,,,y,,,y,"M. C. Dean, Inc",,"Washington, District Of Columbia",http://my.jobs/F824FEC742CD4AFE8B5E26B643D1F190,,
Federal Labor Relations Authority,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,y,,,y,Federal Labor Relations Authority,,"Washington DC, District Of Columbia",http://my.jobs/C521516C695145AF9B3D4B074BFCFEF2,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/9D69892155FD4CF7BBA00E56BB4C27E9,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/4AC8820E5B3B494DAABEC323230FCA1E,,
Architect of the Capitol,,,,,,,,,,,,,,y,,,,,y,,,,,y,,,,,,,,,,,,Architect of the Capitol,,"Washington DC, District Of Columbia",http://my.jobs/717F80806EA84276A79BE0FB36BC67CE,,
"Headquarters, NASA",,,,,,,,,,,,,,,y,,,,,y,,y,,,,,y,,,,,y,,,,"Headquarters, NASA",,"Washington DC, District Of Columbia",http://my.jobs/C314A20D1C0C42008BCF1F78F5F0426D,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/C5A7E0522A634192B933292C8EEA89F3,,
Department of State - Agency Wide,,,,,,,,,,,,,y,y,,,,,,,,,,,,,y,,,,,,,,y,Department of State - Agency Wide,,"Washington DC, District Of Columbia",http://my.jobs/759E9228C0634830A97D949517DE7CBF,,
PwC,,,,,,,,,,,,,,,y,,,,,,,,y,,,y,y,,y,,,y,,y,y,PwC,,"Washington, District Of Columbia",http://my.jobs/85189F0123FE43F5A268B1F54A6B2A3F,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/893C3069DA8F4133A34BB2949654F88A,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/5692A3EE796A403782775E6F3D3670F8,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/BB839D939D404B5BA48B49638207EEE3,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/ECACEAFFB98D41AA9A4C72EBEAC10831,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/7D6B0E20E3644BF3AAAA3702EC0C9111,,
U. S. Sentencing Commission,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,y,U. S. Sentencing Commission,,"Washington DC, District Of Columbia",http://my.jobs/D6DABD17F42F483DA452AA4E8B30E088,,
Office of the Comptroller of the Currency,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,y,Office of the Comptroller of the Currency,,"Washington DC, District Of Columbia",http://my.jobs/3143676C4DF04147BF540D53A9B001B8,,
U.S. International Trade Commission,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,y,U.S. International Trade Commission,,"Washington DC, District Of Columbia",http://my.jobs/595BB877541C411BBB240FE862AB64BA,,
Immediate Office of the Assistant Secretary for Human Resources and Administration,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,y,Immediate Office of the Assistant Secretary for Human Resources and Administration,,"Washington DC, District Of Columbia",http://my.jobs/75CB348BF36F4DE7BE4D9D2B63C0F915,,
"Valorous, Inc.",,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,,,,y,,,y,"Valorous, Inc.",,District Of Columbia,http://my.jobs/CD035DAE3CC4418197879E53040AB863,,
Department of Veterans Affairs - Agency Wide - Off,,,,,,,,,,,,,,y,,,,,,y,,,,,,,,,,,,,,,y,Department of Veterans Affairs - Agency Wide - Off,,"Washington DC, District Of Columbia",http://my.jobs/503D43CA6926499482DEC19A48F43C9D,,
"Court Services and Offender Supervision Agency for DC - Agency Wide - CSOSA, C/O Avue Help Desk",,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,y,"Court Services and Offender Supervision Agency for DC - Agency Wide - CSOSA, C/O Avue Help Desk",,"Washington DC, District Of Columbia",http://my.jobs/37E4C6A53B0543D380BAE1F853A1B1B8,,
Office of General Counsel,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,y,,,y,,,y,Office of General Counsel,,"Washington DC, District Of Columbia",http://my.jobs/787A28ED65DC4B5083A91AAF3C22A0FC,,
Internal Revenue Service,,,,,,,,,,,y,y,,,,,,,y,,,,,,y,,,,,,,,,,y,Internal Revenue Service,,"District of Columbia, District Of Columbia",http://my.jobs/6C6F60AE092B44BA9B531D8AC3AD1E93,,
Internal Revenue Service,,,,,,,,,,,y,y,,,,,,,y,,,,,,y,,,,,,,,,,y,Internal Revenue Service,,"Washington DC, District Of Columbia",http://my.jobs/B320A388BCAF41858058F735E3B36838,,
Internal Revenue Service,,,,,,,,,,,y,y,,,,,,,y,,,,,,y,,,,,,,,,,y,Internal Revenue Service,,"District of Columbia, District Of Columbia",http://my.jobs/674C88203E854FA98370A88F36E2D37F,,
Library of Congress,,,,,,,,,,,y,,y,,,,,,,,,,,,y,,,,,,,y,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/8E63402BBB584B808F8214F0D1EB7850,,
Bureau of Engraving and Printing,,,,,,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,y,Bureau of Engraving and Printing,,"Washington DC, District Of Columbia",http://my.jobs/6735CCC259B84EF4AB10917E9AF2AE5F,,
Bureau of Engraving and Printing,,,,,,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,y,Bureau of Engraving and Printing,,"District of Columbia, District Of Columbia",http://my.jobs/C45024EF46974BFC9105F0EDA703757C,,
Library of Congress,,,,,,,,,,,y,,,,,,,,y,,,,,,y,,,,,,,y,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/A25F34164E344B7DA427A3337E76DE10,,
Library of Congress,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,Library of Congress,,"Washington DC, District Of Columbia",http://my.jobs/5F7AC61817AA43F984306F6FDEEBD00B,,
Planned Parenthood,,,,,,,,,,,,,,y,y,,,,y,,,,,,,,,,y,,,y,y,y,,Planned Parenthood,,District Of Columbia,http://my.jobs/88D775550CB140A5AFDDABBF4BDD77F6,,
Internal Revenue Service,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,Internal Revenue Service,,"Washington DC, District Of Columbia",http://my.jobs/F8F0F324BAE54F2C9C9A0FA985A16C01,,
Department of Veterans Affairs - Agency Wide - Off,,,,,,,,,,,,,,y,,,,,,y,,,,,,,,,,,,,,,y,Department of Veterans Affairs - Agency Wide - Off,,"District of Columbia, District Of Columbia",http://my.jobs/13B1A77A7C26469BB856E2C590FFDE98,,
Federal Aviation Administration,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,y,Federal Aviation Administration,,"Washington DC, District Of Columbia",http://my.jobs/0214BD1BA0EC458C9683A37450537279,,
Internal Revenue Service,,,,,,,,,,,y,y,,,,,,,y,,,,,,y,,,,,,,,,,y,Internal Revenue Service,,"Washington DC, District Of Columbia",http://my.jobs/9E7F426ACF3F4CE7A422225E46DF6253,,
Genesis Rehabilitation,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,y,,,,,,,Genesis Rehabilitation,,"Washington, District Of Columbia",http://my.jobs/4FCCD7DFB9EB4616BF3ACB56276674F7,,
Federal Aviation Administration,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,y,Federal Aviation Administration,,"Washington DC, District Of Columbia",http://my.jobs/640050F292B5430DAF938107BAF51E5D,,
BAE Systems,,,,,,,,,,,,,,,y,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Washington, District Of Columbia",http://my.jobs/73B2AE916AD444959F06ADFCBF320E74,,
Unity Healthcare,,,,,,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,Unity Healthcare,,"Washington, District Of Columbia",http://my.jobs/1D87D7AB358B4AD891A312B07B529095,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Bolling Afb, District Of Columbia",http://my.jobs/6FDAC253BE824C04A7615608DD5ACDD9,,
Federal Aviation Administration,,,,,,,,,,,,,,,y,,,,y,y,,,y,,,y,,,,,,,,,y,Federal Aviation Administration,,"Washington DC, District Of Columbia",http://my.jobs/98D8644751AD455482EDE900A5DDBD1B,,
Office of the Secretary of Transportation,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,,,,y,Office of the Secretary of Transportation,,"Washington DC, District Of Columbia",http://my.jobs/280434A1EFB64B20923D887226AE695A,,
Congressional Budget Office,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,Congressional Budget Office,,"Washington DC, District Of Columbia",http://my.jobs/EB0C0FF1E63E4D849ACF672031318267,,
Federal Trade Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,,y,Federal Trade Commission,,"Washington DC, District Of Columbia",http://my.jobs/41F96A542F134CA7AFE368D73F724B9B,,
Judicial Branch - Agency Wide,,,,,,,,,,,,,,,,,,,y,,,,,,y,,,,,,,,,,y,Judicial Branch - Agency Wide,,"Washington DC, District Of Columbia",http://my.jobs/819268A3DBBA4022A94C4CA695806BEE,,
"Treasury, Departmental Offices",,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,y,"Treasury, Departmental Offices",,"Washington DC, District Of Columbia",http://my.jobs/B6ABE360C265407AA0CBF90C782C3174,,
BAE Systems,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,y,,,,,y,,,y,BAE Systems,,"Washington, District Of Columbia",http://my.jobs/D873C29CE03644A3A6FB3B52FDC036A6,,
