employer_name,employer_phone,employer_email,employer_hq_address,employer_hq_in_dc,employer_home_url,employer_employment_url,employer_notes,employer_box_present,employer_crime_type_asked,employer_years_specified,Accounting,Administrative,Banking,Construction,Business,Creative,Customer Support,Editorial,Education,Engineering,Hospitality,Human Resources,Software,Maintenance,Legal,Logistics,Manufacturing,Marketing,Medical,Other,Project,Government,Non-profit,Sales,Security,position_title,position_phone,position_location,job_posted,collateral_sanction_applies,which_collateral_sanction
SRA International,,,,,,,,,,,,,,,y,,,,,y,,,,,,,y,,,,,y,,,y,SRA International,,"WASHINGTON, District Of Columbia",http://my.jobs/B96FBC39D1A74E198E45F2D6B4EBAB02,,
Boston Properties Limited,,,,,,,,,,,,,,y,,,,,y,y,,,,y,,,y,,,,,y,,,,Boston Properties Limited,,"Washington, District Of Columbia",http://my.jobs/4EE0F3B689B645EC8DC00C8798263402,,
The Specialty Hospital of Washington,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,The Specialty Hospital of Washington,,"Washington, District Of Columbia",http://my.jobs/B078A189F2AB4E7AB76C9870A8E84E6E,,
The Advisory Board Company,,,,,,,,,,,,y,,,y,,,,y,,,,y,,,,,,y,,,,,,,The Advisory Board Company,,"Washington, District Of Columbia",http://my.jobs/19788A59395A4F6E98D18DF5D112E957,,
The Specialty Hospital of Washington,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,The Specialty Hospital of Washington,,"Washington, District Of Columbia",http://my.jobs/92D72E3050B74AC49C3570A7657F0F95,,
Friendship Hospital for Animals,,,,,,,,,,,y,y,,,,,y,,y,,,,,,,,,,y,,,,,,,Friendship Hospital for Animals,,District Of Columbia,http://my.jobs/4B442F2AED574405A34CAD86E9CEF950,,
The Advisory Board Company,,,,,,,,,,,,,,,y,,,,y,,,,y,,,,,,y,,,,,,,The Advisory Board Company,,"Washington, District Of Columbia",http://my.jobs/2DE69007B28A47EC90EC074201CF241C,,
The Advisory Board Company,,,,,,,,,,,,,,,y,,,,y,,,,y,,,,,,y,,,,,,,The Advisory Board Company,,"Washington, District Of Columbia",http://my.jobs/1739CC884FD24ECCB1F1F8C89E580CC3,,
Soliant Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,Soliant Health,,"DC, District Of Columbia",http://my.jobs/E8DA9602EDFC46CCB7DF6CDCA798909C,,
The Specialty Hospital of Washington,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,The Specialty Hospital of Washington,,"Washington, District Of Columbia",http://my.jobs/EB3B0E11C6244BA6B406CE2FB125C85A,,
The Specialty Hospital of Washington,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,The Specialty Hospital of Washington,,"Washington, District Of Columbia",http://my.jobs/0B23686A5D154EA18818C1688E7C31EA,,
SRA International,,,,,,,,,,,,,,,y,,,,,y,,,,,,,,,y,,,,,,,SRA International,,"Washington, District Of Columbia",http://my.jobs/AC3D724C5C3344E3961C7D007ADE35DF,,
Providence Hospital,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,,,,,Providence Hospital,,"Washington, District Of Columbia",http://my.jobs/9180CD2E0866455998718287CA1E01B1,,
Booz Allen Hamilton,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,,y,Booz Allen Hamilton,,"Washington, District Of Columbia",http://my.jobs/BC1AF6095DFD4AD7987AB0A893894655,,
CoStar Group,,,,,,,,,,,y,,y,,,,,,,,,,y,,,,,,y,,,,,,,CoStar Group,,"Washington DC, District Of Columbia",http://my.jobs/5581725509D7473896E7ADF90760BA2E,,
SRA International,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,y,SRA International,,"Washington, District Of Columbia",http://my.jobs/145D208E4B3F4FE59BEC11D8BE8643F2,,
SunTrust Banks,,,,,,,,,,,y,,y,y,y,,,,y,,,,,y,,,y,,y,,,,,y,,SunTrust Banks,,"Washington, District Of Columbia",http://my.jobs/DE14D2C0D50A4F899E762BC5665EA976,,
CyberCoders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CyberCoders,,"Washington, District Of Columbia",http://my.jobs/0D789252F3C44B7FBD5CAA4F35FA6029,,
Care Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,Care Ventures,,"Washington, District Of Columbia",http://my.jobs/FBA29A242D604B94818E6FD1C254DABC,,
CoStar Group,,,,,,,,,,,,,y,y,y,,,,y,,,,y,,,,,y,y,,,,,y,,CoStar Group,,"Washington DC, District Of Columbia",http://my.jobs/AADDA3D0FC5C4636806838C62A9A9F5B,,
Codefry,,,,,,,,,,,,,,,,,y,,y,,,,y,,,,,,y,,,,,,,Codefry,,"Washington, District Of Columbia",http://my.jobs/F690D02BBC1E40DDBFA9B5BBE3AAF67A,,
SRA International,,,,,,,,,,,,,,,y,,,,,y,,,,,,,y,,,,,y,,,y,SRA International,,"WASHINGTON, District Of Columbia",http://my.jobs/21BC66E7EF2D4F50B679B88EF127DE73,,
SRA International,,,,,,,,,,,,,,y,y,,,,y,y,,,,,,,y,,,,,y,,,y,SRA International,,"WASHINGTON, District Of Columbia",http://my.jobs/586569567BCC4E97ACF3206714E810DA,,
PwC,,,,,,,,,,,,,,y,y,,,,,y,,,y,y,,y,y,,,,y,,,y,,PwC,,"Washington, District Of Columbia",http://my.jobs/CE6E7764146748A790CAE082A91FCB70,,
Medstar Health,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,y,,,y,,,y,Medstar Health,,"Washington, District Of Columbia",http://my.jobs/7147D60FB2344E239C60A0DFF9258683,,
Gecko Hospitality,,,,,,,,,,,,,,,,,,,,,y,,,,,,y,,y,,,,,y,,Gecko Hospitality,,"Arlington, District Of Columbia",http://my.jobs/729FE103592D42D3826E7FE37ABBE9CC,,
Omni Hotels,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,y,,,,,,,Omni Hotels,,"Washington, District Of Columbia",http://my.jobs/07596FCC877141AAB1830D7CAAB99493,,
Gecko Hospitality,,,,,,,,,,,,,,,,,,,,,y,,,,,,y,,y,,,,,y,,Gecko Hospitality,,"Arlington, District Of Columbia",http://my.jobs/A85117CB0A124D50898AF7FD8CFB27F9,,
General Dynamics Information Technology,,,,,,,,,,,,,,,,,,,y,y,,,y,y,,,,,y,,,y,,,y,General Dynamics Information Technology,,"Washington, District Of Columbia",http://my.jobs/BCA53D91643141CD97300E84CE2B362A,,
PNC,,,,,,,background check,,,,,,y,y,y,,,,y,,,,y,,,,,,,,,,,y,,PNC,,"Washington, District Of Columbia",http://my.jobs/AA6EA96DE7C84D1EAA007982CCBAB06A,,
Gecko Hospitality,,,,,,,,,,,y,,,,y,,,,,,,,,,,,y,,y,,,,,,,Gecko Hospitality,,"Washington, District Of Columbia",http://my.jobs/B9B40C7837774F54AD4DBF8A75D6CB02,,
Corporate Executive Board,,,,,,,,,,,,,,y,y,,,,,,,,,y,,,,,y,,,,,,,Corporate Executive Board,,"Arlington, District Of Columbia",http://my.jobs/FBA8738FED854806B10F7F86F7989C9A,,
CACI International,,,,,,,,,,,,,,,,,,,y,,,,y,,y,,y,,,,,y,,,y,CACI International,,"Washington, District Of Columbia",http://my.jobs/5FFA610F87FB4B7687C714A532CEE35A,,
Providence Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providence Hospital,,"Washington, District Of Columbia",http://my.jobs/8A6D98195C974F4296F705BCF7B58F98,,
Applied Memetics LLC,,,,,,,,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,Applied Memetics LLC,,"Washington, District Of Columbia",http://my.jobs/6ED17863082D4B7DA54C4A7031F58C71,,
"Crown Agents USA, Inc.",,,,,,,,,,,,,,y,y,,,,,,,,,,,y,,,y,,,y,,,,"Crown Agents USA, Inc.",,"Washington, District Of Columbia",http://my.jobs/45B86DD6AB7642DABC5FD5A86035244D,,
Staffing Advisors,,,,,,,,,,,,,,,y,,,,y,,,,,y,,,,y,,,,,y,,,Staffing Advisors,,"Washington, District Of Columbia",http://my.jobs/C09F92FE8D0E47A6A5F09D6BE5D9C25B,,
"Zeiders Enterprises, Inc",,,,,,,,,,,y,y,,,y,,,,y,,,,,y,,y,,y,y,,y,y,,,,"Zeiders Enterprises, Inc",,"Washington, District Of Columbia",http://my.jobs/DB216A65CA06494EA22C28343262C2DA,,
